1) a = -9 | b = -9 | c = 0

2) a = -9 | b = 0 | c = 0

3) a = -9 | b = 0 | c = 9

4) a = -9 | b = 9 | c = 0

5) a = -8 | b = -8 | c = -2

6) a = -8 | b = -8 | c = 0

7) a = -8 | b = -8 | c = 6

8) a = -8 | b = -6 | c = -1

9) a = -8 | b = -6 | c = 0

10) a = -8 | b = -6 | c = 2

11) a = -8 | b = -6 | c = 5

12) a = -8 | b = -6 | c = 9

13) a = -8 | b = -4 | c = 0

14) a = -8 | b = -4 | c = 4

15) a = -8 | b = -2 | c = 0

16) a = -8 | b = -2 | c = 1

17) a = -8 | b = -2 | c = 3

18) a = -8 | b = -2 | c = 6

19) a = -8 | b = 0 | c = 0

20) a = -8 | b = 0 | c = 2

21) a = -8 | b = 0 | c = 8

22) a = -8 | b = 2 | c = 0

23) a = -8 | b = 2 | c = 1

24) a = -8 | b = 2 | c = 3

25) a = -8 | b = 2 | c = 6

26) a = -8 | b = 4 | c = 0

27) a = -8 | b = 4 | c = 4

28) a = -8 | b = 6 | c = -1

29) a = -8 | b = 6 | c = 0

30) a = -8 | b = 6 | c = 2

31) a = -8 | b = 6 | c = 5

32) a = -8 | b = 6 | c = 9

33) a = -8 | b = 8 | c = -2

34) a = -8 | b = 8 | c = 0

35) a = -8 | b = 8 | c = 6

36) a = -7 | b = -7 | c = 0

37) a = -7 | b = 0 | c = 0

38) a = -7 | b = 0 | c = 7

39) a = -7 | b = 7 | c = 0

40) a = -6 | b = -9 | c = -3

41) a = -6 | b = -9 | c = 0

42) a = -6 | b = -9 | c = 6

43) a = -6 | b = -6 | c = 0

44) a = -6 | b = -3 | c = 0

45) a = -6 | b = -3 | c = 3

46) a = -6 | b = -3 | c = 9

47) a = -6 | b = 0 | c = 0

48) a = -6 | b = 0 | c = 6

49) a = -6 | b = 3 | c = 0

50) a = -6 | b = 3 | c = 3

51) a = -6 | b = 3 | c = 9

52) a = -6 | b = 6 | c = 0

53) a = -6 | b = 9 | c = -3

54) a = -6 | b = 9 | c = 0

55) a = -6 | b = 9 | c = 6

56) a = -5 | b = -9 | c = -4

57) a = -5 | b = -9 | c = 0

58) a = -5 | b = -9 | c = 2

59) a = -5 | b = -8 | c = -3

60) a = -5 | b = -8 | c = 0

61) a = -5 | b = -8 | c = 4

62) a = -5 | b = -7 | c = -2

63) a = -5 | b = -7 | c = 0

64) a = -5 | b = -7 | c = 6

65) a = -5 | b = -6 | c = -1

66) a = -5 | b = -6 | c = 0

67) a = -5 | b = -6 | c = 8

68) a = -5 | b = -5 | c = 0

69) a = -5 | b = -4 | c = 0

70) a = -5 | b = -4 | c = 1

71) a = -5 | b = -4 | c = 9

72) a = -5 | b = -3 | c = 0

73) a = -5 | b = -3 | c = 2

74) a = -5 | b = -3 | c = 8

75) a = -5 | b = -2 | c = 0

76) a = -5 | b = -2 | c = 3

77) a = -5 | b = -2 | c = 7

78) a = -5 | b = -1 | c = 0

79) a = -5 | b = -1 | c = 4

80) a = -5 | b = -1 | c = 6

81) a = -5 | b = 0 | c = 0

82) a = -5 | b = 0 | c = 5

83) a = -5 | b = 1 | c = 0

84) a = -5 | b = 1 | c = 4

85) a = -5 | b = 1 | c = 6

86) a = -5 | b = 2 | c = 0

87) a = -5 | b = 2 | c = 3

88) a = -5 | b = 2 | c = 7

89) a = -5 | b = 3 | c = 0

90) a = -5 | b = 3 | c = 2

91) a = -5 | b = 3 | c = 8

92) a = -5 | b = 4 | c = 0

93) a = -5 | b = 4 | c = 1

94) a = -5 | b = 4 | c = 9

95) a = -5 | b = 5 | c = 0

96) a = -5 | b = 6 | c = -1

97) a = -5 | b = 6 | c = 0

98) a = -5 | b = 6 | c = 8

99) a = -5 | b = 7 | c = -2

100) a = -5 | b = 7 | c = 0

101) a = -5 | b = 7 | c = 6

102) a = -5 | b = 8 | c = -3

103) a = -5 | b = 8 | c = 0

104) a = -5 | b = 8 | c = 4

105) a = -5 | b = 9 | c = -4

106) a = -5 | b = 9 | c = 0

107) a = -5 | b = 9 | c = 2

108) a = -4 | b = -9 | c = -5

109) a = -4 | b = -9 | c = -2

110) a = -4 | b = -9 | c = 0

111) a = -4 | b = -9 | c = 9

112) a = -4 | b = -8 | c = -4

113) a = -4 | b = -8 | c = -3

114) a = -4 | b = -8 | c = 0

115) a = -4 | b = -8 | c = 5

116) a = -4 | b = -7 | c = -3

117) a = -4 | b = -7 | c = 0

118) a = -4 | b = -7 | c = 2

119) a = -4 | b = -6 | c = -2

120) a = -4 | b = -6 | c = 0

121) a = -4 | b = -6 | c = 4

122) a = -4 | b = -5 | c = -1

123) a = -4 | b = -5 | c = 0

124) a = -4 | b = -5 | c = 6

125) a = -4 | b = -5 | c = 9

126) a = -4 | b = -4 | c = -1

127) a = -4 | b = -4 | c = 0

128) a = -4 | b = -4 | c = 3

129) a = -4 | b = -4 | c = 8

130) a = -4 | b = -3 | c = 0

131) a = -4 | b = -3 | c = 1

132) a = -4 | b = -3 | c = 7

133) a = -4 | b = -2 | c = 0

134) a = -4 | b = -2 | c = 2

135) a = -4 | b = -2 | c = 6

136) a = -4 | b = -1 | c = 0

137) a = -4 | b = -1 | c = 3

138) a = -4 | b = -1 | c = 5

139) a = -4 | b = 0 | c = 0

140) a = -4 | b = 0 | c = 1

141) a = -4 | b = 0 | c = 4

142) a = -4 | b = 0 | c = 9

143) a = -4 | b = 1 | c = 0

144) a = -4 | b = 1 | c = 3

145) a = -4 | b = 1 | c = 5

146) a = -4 | b = 2 | c = 0

147) a = -4 | b = 2 | c = 2

148) a = -4 | b = 2 | c = 6

149) a = -4 | b = 3 | c = 0

150) a = -4 | b = 3 | c = 1

151) a = -4 | b = 3 | c = 7

152) a = -4 | b = 4 | c = -1

153) a = -4 | b = 4 | c = 0

154) a = -4 | b = 4 | c = 3

155) a = -4 | b = 4 | c = 8

156) a = -4 | b = 5 | c = -1

157) a = -4 | b = 5 | c = 0

158) a = -4 | b = 5 | c = 6

159) a = -4 | b = 5 | c = 9

160) a = -4 | b = 6 | c = -2

161) a = -4 | b = 6 | c = 0

162) a = -4 | b = 6 | c = 4

163) a = -4 | b = 7 | c = -3

164) a = -4 | b = 7 | c = 0

165) a = -4 | b = 7 | c = 2

166) a = -4 | b = 8 | c = -4

167) a = -4 | b = 8 | c = -3

168) a = -4 | b = 8 | c = 0

169) a = -4 | b = 8 | c = 5

170) a = -4 | b = 9 | c = -5

171) a = -4 | b = 9 | c = -2

172) a = -4 | b = 9 | c = 0

173) a = -4 | b = 9 | c = 9

174) a = -3 | b = -9 | c = -6

175) a = -3 | b = -9 | c = 0

176) a = -3 | b = -6 | c = -3

177) a = -3 | b = -6 | c = 0

178) a = -3 | b = -6 | c = 9

179) a = -3 | b = -3 | c = 0

180) a = -3 | b = -3 | c = 6

181) a = -3 | b = 0 | c = 0

182) a = -3 | b = 0 | c = 3

183) a = -3 | b = 3 | c = 0

184) a = -3 | b = 3 | c = 6

185) a = -3 | b = 6 | c = -3

186) a = -3 | b = 6 | c = 0

187) a = -3 | b = 6 | c = 9

188) a = -3 | b = 9 | c = -6

189) a = -3 | b = 9 | c = 0

190) a = -2 | b = -9 | c = -9

191) a = -2 | b = -9 | c = -7

192) a = -2 | b = -9 | c = -4

193) a = -2 | b = -9 | c = 0

194) a = -2 | b = -9 | c = 5

195) a = -2 | b = -8 | c = -8

196) a = -2 | b = -8 | c = -6

197) a = -2 | b = -8 | c = 0

198) a = -2 | b = -7 | c = -6

199) a = -2 | b = -7 | c = -5

200) a = -2 | b = -7 | c = -3

201) a = -2 | b = -7 | c = 0

202) a = -2 | b = -7 | c = 4

203) a = -2 | b = -7 | c = 9

204) a = -2 | b = -6 | c = -4

205) a = -2 | b = -6 | c = 0

206) a = -2 | b = -6 | c = 8

207) a = -2 | b = -5 | c = -3

208) a = -2 | b = -5 | c = -2

209) a = -2 | b = -5 | c = 0

210) a = -2 | b = -5 | c = 3

211) a = -2 | b = -5 | c = 7

212) a = -2 | b = -4 | c = -2

213) a = -2 | b = -4 | c = 0

214) a = -2 | b = -4 | c = 6

215) a = -2 | b = -3 | c = -1

216) a = -2 | b = -3 | c = 0

217) a = -2 | b = -3 | c = 2

218) a = -2 | b = -3 | c = 5

219) a = -2 | b = -3 | c = 9

220) a = -2 | b = -2 | c = 0

221) a = -2 | b = -2 | c = 4

222) a = -2 | b = -1 | c = 0

223) a = -2 | b = -1 | c = 1

224) a = -2 | b = -1 | c = 3

225) a = -2 | b = -1 | c = 6

226) a = -2 | b = 0 | c = 0

227) a = -2 | b = 0 | c = 2

228) a = -2 | b = 0 | c = 8

229) a = -2 | b = 1 | c = 0

230) a = -2 | b = 1 | c = 1

231) a = -2 | b = 1 | c = 3

232) a = -2 | b = 1 | c = 6

233) a = -2 | b = 2 | c = 0

234) a = -2 | b = 2 | c = 4

235) a = -2 | b = 3 | c = -1

236) a = -2 | b = 3 | c = 0

237) a = -2 | b = 3 | c = 2

238) a = -2 | b = 3 | c = 5

239) a = -2 | b = 3 | c = 9

240) a = -2 | b = 4 | c = -2

241) a = -2 | b = 4 | c = 0

242) a = -2 | b = 4 | c = 6

243) a = -2 | b = 5 | c = -3

244) a = -2 | b = 5 | c = -2

245) a = -2 | b = 5 | c = 0

246) a = -2 | b = 5 | c = 3

247) a = -2 | b = 5 | c = 7

248) a = -2 | b = 6 | c = -4

249) a = -2 | b = 6 | c = 0

250) a = -2 | b = 6 | c = 8

251) a = -2 | b = 7 | c = -6

252) a = -2 | b = 7 | c = -5

253) a = -2 | b = 7 | c = -3

254) a = -2 | b = 7 | c = 0

255) a = -2 | b = 7 | c = 4

256) a = -2 | b = 7 | c = 9

257) a = -2 | b = 8 | c = -8

258) a = -2 | b = 8 | c = -6

259) a = -2 | b = 8 | c = 0

260) a = -2 | b = 9 | c = -9

261) a = -2 | b = 9 | c = -7

262) a = -2 | b = 9 | c = -4

263) a = -2 | b = 9 | c = 0

264) a = -2 | b = 9 | c = 5

265) a = -1 | b = -9 | c = -8

266) a = -1 | b = -9 | c = 0

267) a = -1 | b = -8 | c = -7

268) a = -1 | b = -8 | c = 0

269) a = -1 | b = -8 | c = 9

270) a = -1 | b = -7 | c = -6

271) a = -1 | b = -7 | c = 0

272) a = -1 | b = -7 | c = 8

273) a = -1 | b = -6 | c = -9

274) a = -1 | b = -6 | c = -8

275) a = -1 | b = -6 | c = -5

276) a = -1 | b = -6 | c = 0

277) a = -1 | b = -6 | c = 7

278) a = -1 | b = -5 | c = -6

279) a = -1 | b = -5 | c = -4

280) a = -1 | b = -5 | c = 0

281) a = -1 | b = -5 | c = 6

282) a = -1 | b = -4 | c = -4

283) a = -1 | b = -4 | c = -3

284) a = -1 | b = -4 | c = 0

285) a = -1 | b = -4 | c = 5

286) a = -1 | b = -3 | c = -2

287) a = -1 | b = -3 | c = 0

288) a = -1 | b = -3 | c = 4

289) a = -1 | b = -2 | c = -1

290) a = -1 | b = -2 | c = 0

291) a = -1 | b = -2 | c = 3

292) a = -1 | b = -2 | c = 8

293) a = -1 | b = -1 | c = 0

294) a = -1 | b = -1 | c = 2

295) a = -1 | b = -1 | c = 6

296) a = -1 | b = 0 | c = 0

297) a = -1 | b = 0 | c = 1

298) a = -1 | b = 0 | c = 4

299) a = -1 | b = 0 | c = 9

300) a = -1 | b = 1 | c = 0

301) a = -1 | b = 1 | c = 2

302) a = -1 | b = 1 | c = 6

303) a = -1 | b = 2 | c = -1

304) a = -1 | b = 2 | c = 0

305) a = -1 | b = 2 | c = 3

306) a = -1 | b = 2 | c = 8

307) a = -1 | b = 3 | c = -2

308) a = -1 | b = 3 | c = 0

309) a = -1 | b = 3 | c = 4

310) a = -1 | b = 4 | c = -4

311) a = -1 | b = 4 | c = -3

312) a = -1 | b = 4 | c = 0

313) a = -1 | b = 4 | c = 5

314) a = -1 | b = 5 | c = -6

315) a = -1 | b = 5 | c = -4

316) a = -1 | b = 5 | c = 0

317) a = -1 | b = 5 | c = 6

318) a = -1 | b = 6 | c = -9

319) a = -1 | b = 6 | c = -8

320) a = -1 | b = 6 | c = -5

321) a = -1 | b = 6 | c = 0

322) a = -1 | b = 6 | c = 7

323) a = -1 | b = 7 | c = -6

324) a = -1 | b = 7 | c = 0

325) a = -1 | b = 7 | c = 8

326) a = -1 | b = 8 | c = -7

327) a = -1 | b = 8 | c = 0

328) a = -1 | b = 8 | c = 9

329) a = -1 | b = 9 | c = -8

330) a = -1 | b = 9 | c = 0

331) a = 0 | b = -9 | c = -9

332) a = 0 | b = -9 | c = -8

333) a = 0 | b = -9 | c = -7

334) a = 0 | b = -9 | c = -6

335) a = 0 | b = -9 | c = -5

336) a = 0 | b = -9 | c = -4

337) a = 0 | b = -9 | c = -3

338) a = 0 | b = -9 | c = -2

339) a = 0 | b = -9 | c = -1

340) a = 0 | b = -9 | c = 0

341) a = 0 | b = -9 | c = 1

342) a = 0 | b = -9 | c = 2

343) a = 0 | b = -9 | c = 3

344) a = 0 | b = -9 | c = 4

345) a = 0 | b = -9 | c = 5

346) a = 0 | b = -9 | c = 6

347) a = 0 | b = -9 | c = 7

348) a = 0 | b = -9 | c = 8

349) a = 0 | b = -9 | c = 9

350) a = 0 | b = -8 | c = -9

351) a = 0 | b = -8 | c = -8

352) a = 0 | b = -8 | c = -7

353) a = 0 | b = -8 | c = -6

354) a = 0 | b = -8 | c = -5

355) a = 0 | b = -8 | c = -4

356) a = 0 | b = -8 | c = -3

357) a = 0 | b = -8 | c = -2

358) a = 0 | b = -8 | c = -1

359) a = 0 | b = -8 | c = 0

360) a = 0 | b = -8 | c = 1

361) a = 0 | b = -8 | c = 2

362) a = 0 | b = -8 | c = 3

363) a = 0 | b = -8 | c = 4

364) a = 0 | b = -8 | c = 5

365) a = 0 | b = -8 | c = 6

366) a = 0 | b = -8 | c = 7

367) a = 0 | b = -8 | c = 8

368) a = 0 | b = -8 | c = 9

369) a = 0 | b = -7 | c = -9

370) a = 0 | b = -7 | c = -8

371) a = 0 | b = -7 | c = -7

372) a = 0 | b = -7 | c = -6

373) a = 0 | b = -7 | c = -5

374) a = 0 | b = -7 | c = -4

375) a = 0 | b = -7 | c = -3

376) a = 0 | b = -7 | c = -2

377) a = 0 | b = -7 | c = -1

378) a = 0 | b = -7 | c = 0

379) a = 0 | b = -7 | c = 1

380) a = 0 | b = -7 | c = 2

381) a = 0 | b = -7 | c = 3

382) a = 0 | b = -7 | c = 4

383) a = 0 | b = -7 | c = 5

384) a = 0 | b = -7 | c = 6

385) a = 0 | b = -7 | c = 7

386) a = 0 | b = -7 | c = 8

387) a = 0 | b = -7 | c = 9

388) a = 0 | b = -6 | c = -9

