1) d = 81 | x1 = -1.0 | x2 = 0

2) d = 0 | x1 = 0 | x2 = 0

3) d = 324 | x1 = -1.0 | x2 = 1.0

4) d = 81 | x1 = 0 | x2 = 1.0

5) d = 0 | x1 = -0.5 | x2 = -0.5

6) d = 64 | x1 = -1.0 | x2 = 0

7) d = 256 | x1 = -1.5 | x2 = 0.5

8) d = 4 | x1 = -0.5 | x2 = -0.25

9) d = 36 | x1 = -0.75 | x2 = 0

10) d = 100 | x1 = -1.0 | x2 = 0.25

11) d = 196 | x1 = -1.25 | x2 = 0.5

12) d = 324 | x1 = -1.5 | x2 = 0.75

13) d = 16 | x1 = -0.5 | x2 = 0

14) d = 144 | x1 = -1.0 | x2 = 0.5

15) d = 4 | x1 = -0.25 | x2 = 0

16) d = 36 | x1 = -0.5 | x2 = 0.25

17) d = 100 | x1 = -0.75 | x2 = 0.5

18) d = 196 | x1 = -1.0 | x2 = 0.75

19) d = 0 | x1 = 0 | x2 = 0

20) d = 64 | x1 = -0.5 | x2 = 0.5

21) d = 256 | x1 = -1.0 | x2 = 1.0

22) d = 4 | x1 = 0 | x2 = 0.25

23) d = 36 | x1 = -0.25 | x2 = 0.5

24) d = 100 | x1 = -0.5 | x2 = 0.75

25) d = 196 | x1 = -0.75 | x2 = 1.0

26) d = 16 | x1 = 0 | x2 = 0.5

27) d = 144 | x1 = -0.5 | x2 = 1.0

28) d = 4 | x1 = 0.25 | x2 = 0.5

29) d = 36 | x1 = 0 | x2 = 0.75

30) d = 100 | x1 = -0.25 | x2 = 1.0

31) d = 196 | x1 = -0.5 | x2 = 1.25

32) d = 324 | x1 = -0.75 | x2 = 1.5

33) d = 0 | x1 = 0.5 | x2 = 0.5

34) d = 64 | x1 = 0 | x2 = 1.0

35) d = 256 | x1 = -0.5 | x2 = 1.5

36) d = 49 | x1 = -1.0 | x2 = 0

37) d = 0 | x1 = 0 | x2 = 0

38) d = 196 | x1 = -1.0 | x2 = 1.0

39) d = 49 | x1 = 0 | x2 = 1.0

40) d = 9 | x1 = -1.0 | x2 = -0.5

41) d = 81 | x1 = -1.5 | x2 = 0

42) d = 225 | x1 = -2.0 | x2 = 0.5

43) d = 36 | x1 = -1.0 | x2 = 0

44) d = 9 | x1 = -0.5 | x2 = 0

45) d = 81 | x1 = -1.0 | x2 = 0.5

46) d = 225 | x1 = -1.5 | x2 = 1.0

47) d = 0 | x1 = 0 | x2 = 0

48) d = 144 | x1 = -1.0 | x2 = 1.0

49) d = 9 | x1 = 0 | x2 = 0.5

50) d = 81 | x1 = -0.5 | x2 = 1.0

51) d = 225 | x1 = -1.0 | x2 = 1.5

52) d = 36 | x1 = 0 | x2 = 1.0

53) d = 9 | x1 = 0.5 | x2 = 1.0

54) d = 81 | x1 = 0 | x2 = 1.5

55) d = 225 | x1 = -0.5 | x2 = 2.0

56) d = 1 | x1 = -1.0 | x2 = -0.8

57) d = 81 | x1 = -1.8 | x2 = 0

58) d = 121 | x1 = -2.0 | x2 = 0.2

59) d = 4 | x1 = -1.0 | x2 = -0.6

60) d = 64 | x1 = -1.6 | x2 = 0

61) d = 144 | x1 = -2.0 | x2 = 0.4

62) d = 9 | x1 = -1.0 | x2 = -0.4

63) d = 49 | x1 = -1.4 | x2 = 0

64) d = 169 | x1 = -2.0 | x2 = 0.6

65) d = 16 | x1 = -1.0 | x2 = -0.2

66) d = 36 | x1 = -1.2 | x2 = 0

67) d = 196 | x1 = -2.0 | x2 = 0.8

68) d = 25 | x1 = -1.0 | x2 = 0

69) d = 16 | x1 = -0.8 | x2 = 0

70) d = 36 | x1 = -1.0 | x2 = 0.2

71) d = 196 | x1 = -1.8 | x2 = 1.0

72) d = 9 | x1 = -0.6 | x2 = 0

73) d = 49 | x1 = -1.0 | x2 = 0.4

74) d = 169 | x1 = -1.6 | x2 = 1.0

75) d = 4 | x1 = -0.4 | x2 = 0

76) d = 64 | x1 = -1.0 | x2 = 0.6

77) d = 144 | x1 = -1.4 | x2 = 1.0

78) d = 1 | x1 = -0.2 | x2 = 0

79) d = 81 | x1 = -1.0 | x2 = 0.8

80) d = 121 | x1 = -1.2 | x2 = 1.0

81) d = 0 | x1 = 0 | x2 = 0

82) d = 100 | x1 = -1.0 | x2 = 1.0

83) d = 1 | x1 = 0 | x2 = 0.2

84) d = 81 | x1 = -0.8 | x2 = 1.0

85) d = 121 | x1 = -1.0 | x2 = 1.2

86) d = 4 | x1 = 0 | x2 = 0.4

87) d = 64 | x1 = -0.6 | x2 = 1.0

88) d = 144 | x1 = -1.0 | x2 = 1.4

89) d = 9 | x1 = 0 | x2 = 0.6

90) d = 49 | x1 = -0.4 | x2 = 1.0

91) d = 169 | x1 = -1.0 | x2 = 1.6

92) d = 16 | x1 = 0 | x2 = 0.8

93) d = 36 | x1 = -0.2 | x2 = 1.0

94) d = 196 | x1 = -1.0 | x2 = 1.8

95) d = 25 | x1 = 0 | x2 = 1.0

96) d = 16 | x1 = 0.2 | x2 = 1.0

97) d = 36 | x1 = 0 | x2 = 1.2

98) d = 196 | x1 = -0.8 | x2 = 2.0

99) d = 9 | x1 = 0.4 | x2 = 1.0

100) d = 49 | x1 = 0 | x2 = 1.4

101) d = 169 | x1 = -0.6 | x2 = 2.0

102) d = 4 | x1 = 0.6 | x2 = 1.0

103) d = 64 | x1 = 0 | x2 = 1.6

104) d = 144 | x1 = -0.4 | x2 = 2.0

105) d = 1 | x1 = 0.8 | x2 = 1.0

106) d = 81 | x1 = 0 | x2 = 1.8

107) d = 121 | x1 = -0.2 | x2 = 2.0

108) d = 1 | x1 = -1.25 | x2 = -1.0

109) d = 49 | x1 = -2.0 | x2 = -0.25

110) d = 81 | x1 = -2.25 | x2 = 0

111) d = 225 | x1 = -3.0 | x2 = 0.75

112) d = 0 | x1 = -1.0 | x2 = -1.0

113) d = 16 | x1 = -1.5 | x2 = -0.5

114) d = 64 | x1 = -2.0 | x2 = 0

115) d = 144 | x1 = -2.5 | x2 = 0.5

116) d = 1 | x1 = -1.0 | x2 = -0.75

117) d = 49 | x1 = -1.75 | x2 = 0

118) d = 81 | x1 = -2.0 | x2 = 0.25

119) d = 4 | x1 = -1.0 | x2 = -0.5

120) d = 36 | x1 = -1.5 | x2 = 0

121) d = 100 | x1 = -2.0 | x2 = 0.5

122) d = 9 | x1 = -1.0 | x2 = -0.25

123) d = 25 | x1 = -1.25 | x2 = 0

124) d = 121 | x1 = -2.0 | x2 = 0.75

125) d = 169 | x1 = -2.25 | x2 = 1.0

126) d = 0 | x1 = -0.5 | x2 = -0.5

127) d = 16 | x1 = -1.0 | x2 = 0

128) d = 64 | x1 = -1.5 | x2 = 0.5

129) d = 144 | x1 = -2.0 | x2 = 1.0

130) d = 9 | x1 = -0.75 | x2 = 0

131) d = 25 | x1 = -1.0 | x2 = 0.25

132) d = 121 | x1 = -1.75 | x2 = 1.0

133) d = 4 | x1 = -0.5 | x2 = 0

134) d = 36 | x1 = -1.0 | x2 = 0.5

135) d = 100 | x1 = -1.5 | x2 = 1.0

136) d = 1 | x1 = -0.25 | x2 = 0

137) d = 49 | x1 = -1.0 | x2 = 0.75

138) d = 81 | x1 = -1.25 | x2 = 1.0

139) d = 0 | x1 = 0 | x2 = 0

140) d = 16 | x1 = -0.5 | x2 = 0.5

141) d = 64 | x1 = -1.0 | x2 = 1.0

142) d = 144 | x1 = -1.5 | x2 = 1.5

143) d = 1 | x1 = 0 | x2 = 0.25

144) d = 49 | x1 = -0.75 | x2 = 1.0

145) d = 81 | x1 = -1.0 | x2 = 1.25

146) d = 4 | x1 = 0 | x2 = 0.5

147) d = 36 | x1 = -0.5 | x2 = 1.0

148) d = 100 | x1 = -1.0 | x2 = 1.5

149) d = 9 | x1 = 0 | x2 = 0.75

150) d = 25 | x1 = -0.25 | x2 = 1.0

151) d = 121 | x1 = -1.0 | x2 = 1.75

152) d = 0 | x1 = 0.5 | x2 = 0.5

153) d = 16 | x1 = 0 | x2 = 1.0

154) d = 64 | x1 = -0.5 | x2 = 1.5

155) d = 144 | x1 = -1.0 | x2 = 2.0

156) d = 9 | x1 = 0.25 | x2 = 1.0

157) d = 25 | x1 = 0 | x2 = 1.25

158) d = 121 | x1 = -0.75 | x2 = 2.0

159) d = 169 | x1 = -1.0 | x2 = 2.25

160) d = 4 | x1 = 0.5 | x2 = 1.0

161) d = 36 | x1 = 0 | x2 = 1.5

162) d = 100 | x1 = -0.5 | x2 = 2.0

163) d = 1 | x1 = 0.75 | x2 = 1.0

164) d = 49 | x1 = 0 | x2 = 1.75

165) d = 81 | x1 = -0.25 | x2 = 2.0

166) d = 0 | x1 = 1.0 | x2 = 1.0

167) d = 16 | x1 = 0.5 | x2 = 1.5

168) d = 64 | x1 = 0 | x2 = 2.0

169) d = 144 | x1 = -0.5 | x2 = 2.5

170) d = 1 | x1 = 1.0 | x2 = 1.25

171) d = 49 | x1 = 0.25 | x2 = 2.0

172) d = 81 | x1 = 0 | x2 = 2.25

173) d = 225 | x1 = -0.75 | x2 = 3.0

174) d = 9 | x1 = -2.0 | x2 = -1.0

175) d = 81 | x1 = -3.0 | x2 = 0

176) d = 0 | x1 = -1.0 | x2 = -1.0

177) d = 36 | x1 = -2.0 | x2 = 0

178) d = 144 | x1 = -3.0 | x2 = 1.0

179) d = 9 | x1 = -1.0 | x2 = 0

180) d = 81 | x1 = -2.0 | x2 = 1.0

181) d = 0 | x1 = 0 | x2 = 0

182) d = 36 | x1 = -1.0 | x2 = 1.0

183) d = 9 | x1 = 0 | x2 = 1.0

184) d = 81 | x1 = -1.0 | x2 = 2.0

185) d = 0 | x1 = 1.0 | x2 = 1.0

186) d = 36 | x1 = 0 | x2 = 2.0

187) d = 144 | x1 = -1.0 | x2 = 3.0

188) d = 9 | x1 = 1.0 | x2 = 2.0

189) d = 81 | x1 = 0 | x2 = 3.0

190) d = 9 | x1 = -3.0 | x2 = -1.5

191) d = 25 | x1 = -3.5 | x2 = -1.0

192) d = 49 | x1 = -4.0 | x2 = -0.5

193) d = 81 | x1 = -4.5 | x2 = 0

194) d = 121 | x1 = -5.0 | x2 = 0.5

195) d = 0 | x1 = -2.0 | x2 = -2.0

196) d = 16 | x1 = -3.0 | x2 = -1.0

197) d = 64 | x1 = -4.0 | x2 = 0

198) d = 1 | x1 = -2.0 | x2 = -1.5

199) d = 9 | x1 = -2.5 | x2 = -1.0

200) d = 25 | x1 = -3.0 | x2 = -0.5

201) d = 49 | x1 = -3.5 | x2 = 0

202) d = 81 | x1 = -4.0 | x2 = 0.5

203) d = 121 | x1 = -4.5 | x2 = 1.0

204) d = 4 | x1 = -2.0 | x2 = -1.0

205) d = 36 | x1 = -3.0 | x2 = 0

206) d = 100 | x1 = -4.0 | x2 = 1.0

207) d = 1 | x1 = -1.5 | x2 = -1.0

208) d = 9 | x1 = -2.0 | x2 = -0.5

209) d = 25 | x1 = -2.5 | x2 = 0

210) d = 49 | x1 = -3.0 | x2 = 0.5

211) d = 81 | x1 = -3.5 | x2 = 1.0

212) d = 0 | x1 = -1.0 | x2 = -1.0

213) d = 16 | x1 = -2.0 | x2 = 0

214) d = 64 | x1 = -3.0 | x2 = 1.0

215) d = 1 | x1 = -1.0 | x2 = -0.5

216) d = 9 | x1 = -1.5 | x2 = 0

217) d = 25 | x1 = -2.0 | x2 = 0.5

218) d = 49 | x1 = -2.5 | x2 = 1.0

219) d = 81 | x1 = -3.0 | x2 = 1.5

220) d = 4 | x1 = -1.0 | x2 = 0

221) d = 36 | x1 = -2.0 | x2 = 1.0

222) d = 1 | x1 = -0.5 | x2 = 0

223) d = 9 | x1 = -1.0 | x2 = 0.5

224) d = 25 | x1 = -1.5 | x2 = 1.0

225) d = 49 | x1 = -2.0 | x2 = 1.5

226) d = 0 | x1 = 0 | x2 = 0

227) d = 16 | x1 = -1.0 | x2 = 1.0

228) d = 64 | x1 = -2.0 | x2 = 2.0

229) d = 1 | x1 = 0 | x2 = 0.5

230) d = 9 | x1 = -0.5 | x2 = 1.0

231) d = 25 | x1 = -1.0 | x2 = 1.5

232) d = 49 | x1 = -1.5 | x2 = 2.0

233) d = 4 | x1 = 0 | x2 = 1.0

234) d = 36 | x1 = -1.0 | x2 = 2.0

235) d = 1 | x1 = 0.5 | x2 = 1.0

236) d = 9 | x1 = 0 | x2 = 1.5

237) d = 25 | x1 = -0.5 | x2 = 2.0

238) d = 49 | x1 = -1.0 | x2 = 2.5

239) d = 81 | x1 = -1.5 | x2 = 3.0

240) d = 0 | x1 = 1.0 | x2 = 1.0

241) d = 16 | x1 = 0 | x2 = 2.0

242) d = 64 | x1 = -1.0 | x2 = 3.0

243) d = 1 | x1 = 1.0 | x2 = 1.5

