1) a = 1 | b = 1 | c = 0

2) a = 1 | b = 2 | c = 0

3) a = 1 | b = 3 | c = 0

4) a = 1 | b = 3 | c = 2

5) a = 1 | b = 4 | c = 0

6) a = 1 | b = 4 | c = 3

7) a = 1 | b = 5 | c = 0

8) a = 1 | b = 5 | c = 4

9) a = 1 | b = 5 | c = 6

10) a = 1 | b = 6 | c = 0

11) a = 1 | b = 6 | c = 5

12) a = 1 | b = 6 | c = 8

13) a = 1 | b = 7 | c = 0

14) a = 1 | b = 7 | c = 6

15) a = 1 | b = 8 | c = 0

16) a = 1 | b = 8 | c = 7

17) a = 1 | b = 9 | c = 0

18) a = 1 | b = 9 | c = 8

19) a = 2 | b = 1 | c = 0

20) a = 2 | b = 2 | c = 0

21) a = 2 | b = 3 | c = 0

22) a = 2 | b = 3 | c = 1

23) a = 2 | b = 4 | c = 0

24) a = 2 | b = 5 | c = 0

25) a = 2 | b = 5 | c = 2

26) a = 2 | b = 5 | c = 3

27) a = 2 | b = 6 | c = 0

28) a = 2 | b = 6 | c = 4

29) a = 2 | b = 7 | c = 0

30) a = 2 | b = 7 | c = 3

31) a = 2 | b = 7 | c = 5

32) a = 2 | b = 7 | c = 6

33) a = 2 | b = 8 | c = 0

34) a = 2 | b = 8 | c = 6

35) a = 2 | b = 9 | c = 0

36) a = 2 | b = 9 | c = 4

37) a = 2 | b = 9 | c = 7

38) a = 2 | b = 9 | c = 9

39) a = 3 | b = 3 | c = 0

40) a = 3 | b = 6 | c = 0

41) a = 3 | b = 9 | c = 0

42) a = 3 | b = 9 | c = 6

43) a = 4 | b = 1 | c = 0

44) a = 4 | b = 2 | c = 0

45) a = 4 | b = 3 | c = 0

46) a = 4 | b = 4 | c = 0

47) a = 4 | b = 5 | c = 0

48) a = 4 | b = 5 | c = 1

49) a = 4 | b = 6 | c = 0

50) a = 4 | b = 6 | c = 2

51) a = 4 | b = 7 | c = 0

52) a = 4 | b = 7 | c = 3

53) a = 4 | b = 8 | c = 0

54) a = 4 | b = 8 | c = 3

55) a = 4 | b = 9 | c = 0

56) a = 4 | b = 9 | c = 2

57) a = 4 | b = 9 | c = 5

58) a = 5 | b = 1 | c = 0

59) a = 5 | b = 2 | c = 0

60) a = 5 | b = 3 | c = 0

61) a = 5 | b = 4 | c = 0

62) a = 5 | b = 5 | c = 0

63) a = 5 | b = 6 | c = 0

64) a = 5 | b = 6 | c = 1

65) a = 5 | b = 7 | c = 0

66) a = 5 | b = 7 | c = 2

67) a = 5 | b = 8 | c = 0

68) a = 5 | b = 8 | c = 3

69) a = 5 | b = 9 | c = 0

70) a = 5 | b = 9 | c = 4

71) a = 6 | b = 3 | c = 0

72) a = 6 | b = 6 | c = 0

73) a = 6 | b = 9 | c = 0

74) a = 6 | b = 9 | c = 3

75) a = 7 | b = 7 | c = 0

76) a = 8 | b = 2 | c = 0

77) a = 8 | b = 4 | c = 0

78) a = 8 | b = 6 | c = 0

79) a = 8 | b = 6 | c = 1

80) a = 8 | b = 8 | c = 0

81) a = 9 | b = 9 | c = 0

