1) d = 1 | x1 = 0 | x2 = -1.0

2) d = 4 | x1 = 0 | x2 = -2.0

3) d = 9 | x1 = 0 | x2 = -3.0

4) d = 1 | x1 = -1.0 | x2 = -2.0

5) d = 16 | x1 = 0 | x2 = -4.0

6) d = 4 | x1 = -1.0 | x2 = -3.0

7) d = 25 | x1 = 0 | x2 = -5.0

8) d = 9 | x1 = -1.0 | x2 = -4.0

9) d = 1 | x1 = -2.0 | x2 = -3.0

10) d = 36 | x1 = 0 | x2 = -6.0

11) d = 16 | x1 = -1.0 | x2 = -5.0

12) d = 4 | x1 = -2.0 | x2 = -4.0

13) d = 49 | x1 = 0 | x2 = -7.0

14) d = 25 | x1 = -1.0 | x2 = -6.0

15) d = 64 | x1 = 0 | x2 = -8.0

16) d = 36 | x1 = -1.0 | x2 = -7.0

17) d = 81 | x1 = 0 | x2 = -9.0

18) d = 49 | x1 = -1.0 | x2 = -8.0

19) d = 1 | x1 = 0 | x2 = -0.5

20) d = 4 | x1 = 0 | x2 = -1.0

21) d = 9 | x1 = 0 | x2 = -1.5

22) d = 1 | x1 = -0.5 | x2 = -1.0

23) d = 16 | x1 = 0 | x2 = -2.0

24) d = 25 | x1 = 0 | x2 = -2.5

25) d = 9 | x1 = -0.5 | x2 = -2.0

26) d = 1 | x1 = -1.0 | x2 = -1.5

27) d = 36 | x1 = 0 | x2 = -3.0

28) d = 4 | x1 = -1.0 | x2 = -2.0

29) d = 49 | x1 = 0 | x2 = -3.5

30) d = 25 | x1 = -0.5 | x2 = -3.0

31) d = 9 | x1 = -1.0 | x2 = -2.5

32) d = 1 | x1 = -1.5 | x2 = -2.0

33) d = 64 | x1 = 0 | x2 = -4.0

34) d = 16 | x1 = -1.0 | x2 = -3.0

35) d = 81 | x1 = 0 | x2 = -4.5

36) d = 49 | x1 = -0.5 | x2 = -4.0

37) d = 25 | x1 = -1.0 | x2 = -3.5

38) d = 9 | x1 = -1.5 | x2 = -3.0

39) d = 9 | x1 = 0 | x2 = -1.0

40) d = 36 | x1 = 0 | x2 = -2.0

41) d = 81 | x1 = 0 | x2 = -3.0

42) d = 9 | x1 = -1.0 | x2 = -2.0

43) d = 1 | x1 = 0 | x2 = -0.25

44) d = 4 | x1 = 0 | x2 = -0.5

45) d = 9 | x1 = 0 | x2 = -0.75

46) d = 16 | x1 = 0 | x2 = -1.0

47) d = 25 | x1 = 0 | x2 = -1.25

48) d = 9 | x1 = -0.25 | x2 = -1.0

49) d = 36 | x1 = 0 | x2 = -1.5

50) d = 4 | x1 = -0.5 | x2 = -1.0

51) d = 49 | x1 = 0 | x2 = -1.75

52) d = 1 | x1 = -0.75 | x2 = -1.0

53) d = 64 | x1 = 0 | x2 = -2.0

54) d = 16 | x1 = -0.5 | x2 = -1.5

55) d = 81 | x1 = 0 | x2 = -2.25

56) d = 49 | x1 = -0.25 | x2 = -2.0

57) d = 1 | x1 = -1.0 | x2 = -1.25

58) d = 1 | x1 = 0 | x2 = -0.2

59) d = 4 | x1 = 0 | x2 = -0.4

60) d = 9 | x1 = 0 | x2 = -0.6

61) d = 16 | x1 = 0 | x2 = -0.8

62) d = 25 | x1 = 0 | x2 = -1.0

63) d = 36 | x1 = 0 | x2 = -1.2

64) d = 16 | x1 = -0.2 | x2 = -1.0

65) d = 49 | x1 = 0 | x2 = -1.4

66) d = 9 | x1 = -0.4 | x2 = -1.0

67) d = 64 | x1 = 0 | x2 = -1.6

68) d = 4 | x1 = -0.6 | x2 = -1.0

69) d = 81 | x1 = 0 | x2 = -1.8

70) d = 1 | x1 = -0.8 | x2 = -1.0

71) d = 9 | x1 = 0 | x2 = -0.5

72) d = 36 | x1 = 0 | x2 = -1.0

73) d = 81 | x1 = 0 | x2 = -1.5

74) d = 9 | x1 = -0.5 | x2 = -1.0

75) d = 49 | x1 = 0 | x2 = -1.0

76) d = 4 | x1 = 0 | x2 = -0.25

77) d = 16 | x1 = 0 | x2 = -0.5

78) d = 36 | x1 = 0 | x2 = -0.75

79) d = 4 | x1 = -0.25 | x2 = -0.5

80) d = 64 | x1 = 0 | x2 = -1.0

81) d = 81 | x1 = 0 | x2 = -1.0

