1) a = 0.1 | b = 0.1 | c = 0

2) a = 0.1 | b = 0.2 | c = 0

3) a = 0.1 | b = 0.4 | c = 0

4) a = 0.1 | b = 0.5 | c = 0

5) a = 0.1 | b = 0.8 | c = 0

6) a = 0.1 | b = 0.9 | c = 0

7) a = 0.1 | b = 1 | c = 0

8) a = 0.1 | b = 1.1 | c = 0

9) a = 0.1 | b = 1.3 | c = 0

10) a = 0.1 | b = 1.3 | c = 2.2

11) a = 0.1 | b = 1.3 | c = 3.6

12) a = 0.1 | b = 1.5 | c = 0

13) a = 0.1 | b = 1.5 | c = 5

14) a = 0.1 | b = 1.6 | c = 0

15) a = 0.1 | b = 1.7 | c = 0

16) a = 0.1 | b = 1.8 | c = 0

17) a = 0.1 | b = 1.8 | c = 6.5

18) a = 0.1 | b = 2 | c = 0

19) a = 0.1 | b = 2 | c = 7.5

20) a = 0.1 | b = 2.1 | c = 0

21) a = 0.1 | b = 2.1 | c = 6.8

22) a = 0.1 | b = 2.1 | c = 8

23) a = 0.1 | b = 2.2 | c = 0

24) a = 0.1 | b = 2.5 | c = 0

25) a = 0.1 | b = 2.5 | c = 8.4

26) a = 0.1 | b = 2.6 | c = 0

27) a = 0.1 | b = 2.6 | c = 8.8

28) a = 0.1 | b = 2.7 | c = 0

29) a = 0.1 | b = 3 | c = 0

30) a = 0.1 | b = 3.1 | c = 0

31) a = 0.1 | b = 3.2 | c = 0

32) a = 0.1 | b = 3.4 | c = 0

33) a = 0.1 | b = 3.5 | c = 0

34) a = 0.1 | b = 3.6 | c = 0

35) a = 0.1 | b = 3.7 | c = 0

36) a = 0.1 | b = 3.9 | c = 0

37) a = 0.1 | b = 4 | c = 0

38) a = 0.1 | b = 4.2 | c = 0

39) a = 0.1 | b = 4.4 | c = 0

40) a = 0.1 | b = 4.5 | c = 0

41) a = 0.1 | b = 4.7 | c = 0

42) a = 0.1 | b = 4.9 | c = 0

43) a = 0.1 | b = 5 | c = 0

44) a = 0.1 | b = 5.2 | c = 0

45) a = 0.1 | b = 5.4 | c = 0

46) a = 0.1 | b = 5.5 | c = 0

47) a = 0.1 | b = 5.7 | c = 0

48) a = 0.1 | b = 5.9 | c = 0

49) a = 0.1 | b = 6 | c = 0

50) a = 0.1 | b = 6.2 | c = 0

51) a = 0.1 | b = 6.4 | c = 0

52) a = 0.1 | b = 6.5 | c = 0

53) a = 0.1 | b = 6.7 | c = 0

54) a = 0.1 | b = 6.8 | c = 0

55) a = 0.1 | b = 6.9 | c = 0

56) a = 0.1 | b = 7 | c = 0

57) a = 0.1 | b = 7.2 | c = 0

58) a = 0.1 | b = 7.3 | c = 0

59) a = 0.1 | b = 7.4 | c = 0

60) a = 0.1 | b = 7.5 | c = 0

61) a = 0.1 | b = 7.7 | c = 0

62) a = 0.1 | b = 7.8 | c = 0

63) a = 0.1 | b = 7.9 | c = 0

64) a = 0.1 | b = 8 | c = 0

65) a = 0.1 | b = 8.3 | c = 0

66) a = 0.1 | b = 8.4 | c = 0

67) a = 0.1 | b = 8.5 | c = 0

68) a = 0.1 | b = 8.8 | c = 0

69) a = 0.1 | b = 8.9 | c = 0

70) a = 0.1 | b = 9 | c = 0

71) a = 0.2 | b = 0.1 | c = 0

72) a = 0.2 | b = 0.2 | c = 0

73) a = 0.2 | b = 0.4 | c = 0

74) a = 0.2 | b = 0.5 | c = 0

75) a = 0.2 | b = 0.8 | c = 0

76) a = 0.2 | b = 0.9 | c = 0

77) a = 0.2 | b = 1 | c = 0

78) a = 0.2 | b = 1.1 | c = 0

79) a = 0.2 | b = 1.3 | c = 0

80) a = 0.2 | b = 1.3 | c = 1.1

81) a = 0.2 | b = 1.3 | c = 1.8

82) a = 0.2 | b = 1.5 | c = 0

83) a = 0.2 | b = 1.5 | c = 2.5

84) a = 0.2 | b = 1.6 | c = 0

85) a = 0.2 | b = 1.7 | c = 0

86) a = 0.2 | b = 1.8 | c = 0

87) a = 0.2 | b = 2 | c = 0

88) a = 0.2 | b = 2.1 | c = 0

89) a = 0.2 | b = 2.1 | c = 3.4

90) a = 0.2 | b = 2.1 | c = 4

91) a = 0.2 | b = 2.1 | c = 5.2

92) a = 0.2 | b = 2.2 | c = 0

93) a = 0.2 | b = 2.5 | c = 0

94) a = 0.2 | b = 2.5 | c = 4.2

95) a = 0.2 | b = 2.5 | c = 5

96) a = 0.2 | b = 2.5 | c = 7.5

97) a = 0.2 | b = 2.6 | c = 0

98) a = 0.2 | b = 2.6 | c = 4.4

99) a = 0.2 | b = 2.6 | c = 7.2

100) a = 0.2 | b = 2.7 | c = 0

101) a = 0.2 | b = 2.7 | c = 7

102) a = 0.2 | b = 2.7 | c = 8.8

103) a = 0.2 | b = 3 | c = 0

104) a = 0.2 | b = 3.1 | c = 0

105) a = 0.2 | b = 3.1 | c = 6.5

106) a = 0.2 | b = 3.2 | c = 0

107) a = 0.2 | b = 3.4 | c = 0

108) a = 0.2 | b = 3.5 | c = 0

109) a = 0.2 | b = 3.5 | c = 7.5

110) a = 0.2 | b = 3.6 | c = 0

111) a = 0.2 | b = 3.7 | c = 0

112) a = 0.2 | b = 3.7 | c = 8

113) a = 0.2 | b = 3.9 | c = 0

114) a = 0.2 | b = 3.9 | c = 8.5

115) a = 0.2 | b = 4 | c = 0

116) a = 0.2 | b = 4.2 | c = 0

117) a = 0.2 | b = 4.4 | c = 0

118) a = 0.2 | b = 4.5 | c = 0

119) a = 0.2 | b = 4.7 | c = 0

120) a = 0.2 | b = 4.9 | c = 0

121) a = 0.2 | b = 5 | c = 0

122) a = 0.2 | b = 5.2 | c = 0

123) a = 0.2 | b = 5.4 | c = 0

124) a = 0.2 | b = 5.5 | c = 0

125) a = 0.2 | b = 5.7 | c = 0

126) a = 0.2 | b = 5.9 | c = 0

127) a = 0.2 | b = 6 | c = 0

128) a = 0.2 | b = 6.2 | c = 0

129) a = 0.2 | b = 6.4 | c = 0

130) a = 0.2 | b = 6.5 | c = 0

131) a = 0.2 | b = 6.7 | c = 0

132) a = 0.2 | b = 6.8 | c = 0

133) a = 0.2 | b = 6.9 | c = 0

134) a = 0.2 | b = 7 | c = 0

135) a = 0.2 | b = 7.2 | c = 0

136) a = 0.2 | b = 7.3 | c = 0

137) a = 0.2 | b = 7.4 | c = 0

138) a = 0.2 | b = 7.5 | c = 0

139) a = 0.2 | b = 7.7 | c = 0

140) a = 0.2 | b = 7.8 | c = 0

141) a = 0.2 | b = 7.9 | c = 0

142) a = 0.2 | b = 8 | c = 0

143) a = 0.2 | b = 8.3 | c = 0

144) a = 0.2 | b = 8.4 | c = 0

145) a = 0.2 | b = 8.5 | c = 0

146) a = 0.2 | b = 8.8 | c = 0

147) a = 0.2 | b = 8.9 | c = 0

148) a = 0.2 | b = 9 | c = 0

149) a = 0.3 | b = 0.3 | c = 0

150) a = 0.3 | b = 0.6 | c = 0

151) a = 0.3 | b = 0.9 | c = 0

152) a = 0.3 | b = 1.2 | c = 0

153) a = 0.3 | b = 1.5 | c = 0

154) a = 0.3 | b = 1.5 | c = 1.2

155) a = 0.3 | b = 1.8 | c = 0

156) a = 0.3 | b = 2.4 | c = 0

157) a = 0.3 | b = 3 | c = 0

158) a = 0.3 | b = 3 | c = 4.8

159) a = 0.3 | b = 3.3 | c = 0

160) a = 0.3 | b = 3.6 | c = 0

161) a = 0.3 | b = 3.9 | c = 0

162) a = 0.3 | b = 3.9 | c = 9

163) a = 0.3 | b = 4.5 | c = 0

164) a = 0.3 | b = 4.8 | c = 0

165) a = 0.3 | b = 5.1 | c = 0

166) a = 0.3 | b = 5.7 | c = 0

167) a = 0.3 | b = 6 | c = 0

168) a = 0.3 | b = 6.3 | c = 0

169) a = 0.3 | b = 6.6 | c = 0

170) a = 0.3 | b = 7.2 | c = 0

171) a = 0.3 | b = 7.5 | c = 0

172) a = 0.3 | b = 7.8 | c = 0

173) a = 0.3 | b = 8.1 | c = 0

174) a = 0.3 | b = 8.7 | c = 0

175) a = 0.3 | b = 9 | c = 0

176) a = 0.4 | b = 0.2 | c = 0

177) a = 0.4 | b = 0.4 | c = 0

178) a = 0.4 | b = 0.8 | c = 0

179) a = 0.4 | b = 1 | c = 0

180) a = 0.4 | b = 1.6 | c = 0

181) a = 0.4 | b = 1.8 | c = 0

182) a = 0.4 | b = 2 | c = 0

183) a = 0.4 | b = 2.2 | c = 0

184) a = 0.4 | b = 2.6 | c = 0

185) a = 0.4 | b = 2.6 | c = 2.2

186) a = 0.4 | b = 2.6 | c = 3.6

187) a = 0.4 | b = 3 | c = 0

188) a = 0.4 | b = 3 | c = 5

189) a = 0.4 | b = 3.2 | c = 0

190) a = 0.4 | b = 3.4 | c = 0

191) a = 0.4 | b = 3.6 | c = 0

192) a = 0.4 | b = 3.6 | c = 6.5

193) a = 0.4 | b = 4 | c = 0

194) a = 0.4 | b = 4 | c = 7.5

195) a = 0.4 | b = 4.2 | c = 0

196) a = 0.4 | b = 4.2 | c = 6.8

197) a = 0.4 | b = 4.2 | c = 8

198) a = 0.4 | b = 4.4 | c = 0

199) a = 0.4 | b = 5 | c = 0

200) a = 0.4 | b = 5 | c = 8.4

201) a = 0.4 | b = 5.2 | c = 0

202) a = 0.4 | b = 5.2 | c = 8.8

203) a = 0.4 | b = 5.4 | c = 0

204) a = 0.4 | b = 6 | c = 0

205) a = 0.4 | b = 6.2 | c = 0

206) a = 0.4 | b = 6.4 | c = 0

207) a = 0.4 | b = 6.8 | c = 0

208) a = 0.4 | b = 7 | c = 0

209) a = 0.4 | b = 7.2 | c = 0

210) a = 0.4 | b = 7.4 | c = 0

211) a = 0.4 | b = 7.8 | c = 0

212) a = 0.4 | b = 8 | c = 0

213) a = 0.4 | b = 8.4 | c = 0

214) a = 0.4 | b = 8.8 | c = 0

215) a = 0.4 | b = 9 | c = 0

216) a = 0.5 | b = 0.1 | c = 0

217) a = 0.5 | b = 0.2 | c = 0

218) a = 0.5 | b = 0.3 | c = 0

219) a = 0.5 | b = 0.4 | c = 0

220) a = 0.5 | b = 0.5 | c = 0

221) a = 0.5 | b = 0.6 | c = 0

222) a = 0.5 | b = 0.7 | c = 0

223) a = 0.5 | b = 0.8 | c = 0

224) a = 0.5 | b = 0.9 | c = 0

225) a = 0.5 | b = 1 | c = 0

226) a = 0.5 | b = 1.1 | c = 0

227) a = 0.5 | b = 1.2 | c = 0

228) a = 0.5 | b = 1.3 | c = 0

229) a = 0.5 | b = 1.4 | c = 0

230) a = 0.5 | b = 1.5 | c = 0

231) a = 0.5 | b = 1.5 | c = 1

232) a = 0.5 | b = 1.6 | c = 0

233) a = 0.5 | b = 1.7 | c = 0

234) a = 0.5 | b = 1.8 | c = 0

235) a = 0.5 | b = 1.8 | c = 1.3

236) a = 0.5 | b = 1.9 | c = 0

237) a = 0.5 | b = 2 | c = 0

238) a = 0.5 | b = 2 | c = 1.5

239) a = 0.5 | b = 2.1 | c = 0

240) a = 0.5 | b = 2.1 | c = 1.6

241) a = 0.5 | b = 2.2 | c = 0

242) a = 0.5 | b = 2.3 | c = 0

243) a = 0.5 | b = 2.4 | c = 0

244) a = 0.5 | b = 2.4 | c = 1.9

245) a = 0.5 | b = 2.5 | c = 0

246) a = 0.5 | b = 2.5 | c = 2

247) a = 0.5 | b = 2.5 | c = 3

248) a = 0.5 | b = 2.6 | c = 0

249) a = 0.5 | b = 2.6 | c = 2.1

250) a = 0.5 | b = 2.7 | c = 0

251) a = 0.5 | b = 2.8 | c = 0

252) a = 0.5 | b = 2.9 | c = 0

253) a = 0.5 | b = 3 | c = 0

254) a = 0.5 | b = 3 | c = 2.5

255) a = 0.5 | b = 3 | c = 4

256) a = 0.5 | b = 3.1 | c = 0

257) a = 0.5 | b = 3.1 | c = 2.6

258) a = 0.5 | b = 3.2 | c = 0

259) a = 0.5 | b = 3.2 | c = 2.7

260) a = 0.5 | b = 3.3 | c = 0

261) a = 0.5 | b = 3.3 | c = 2.8

262) a = 0.5 | b = 3.4 | c = 0

263) a = 0.5 | b = 3.4 | c = 2.9

264) a = 0.5 | b = 3.5 | c = 0

265) a = 0.5 | b = 3.5 | c = 3

266) a = 0.5 | b = 3.5 | c = 5

267) a = 0.5 | b = 3.5 | c = 6

268) a = 0.5 | b = 3.6 | c = 0

269) a = 0.5 | b = 3.6 | c = 3.1

270) a = 0.5 | b = 3.6 | c = 5.2

271) a = 0.5 | b = 3.7 | c = 0

272) a = 0.5 | b = 3.7 | c = 3.2

273) a = 0.5 | b = 3.8 | c = 0

274) a = 0.5 | b = 3.8 | c = 3.3

275) a = 0.5 | b = 3.9 | c = 0

276) a = 0.5 | b = 3.9 | c = 3.4

277) a = 0.5 | b = 3.9 | c = 5.8

278) a = 0.5 | b = 4 | c = 0

279) a = 0.5 | b = 4 | c = 3.5

280) a = 0.5 | b = 4 | c = 6

281) a = 0.5 | b = 4 | c = 7.5

282) a = 0.5 | b = 4.1 | c = 0

283) a = 0.5 | b = 4.2 | c = 0

284) a = 0.5 | b = 4.2 | c = 3.7

285) a = 0.5 | b = 4.2 | c = 6.4

286) a = 0.5 | b = 4.3 | c = 0
