1) d = 0.0 | x1 = 0 | x2 = -1.0

2) d = 0.0 | x1 = 0 | x2 = -2.0

3) d = 0.2 | x1 = 0 | x2 = -4.0

4) d = 0.2 | x1 = 0 | x2 = -5.0

5) d = 0.6 | x1 = 0 | x2 = -8.0

6) d = 0.8 | x1 = 0 | x2 = -9.0

7) d = 1.0 | x1 = 0 | x2 = -10.0

8) d = 1.2 | x1 = 0 | x2 = -11.0

9) d = 1.7 | x1 = 0 | x2 = -13.0

10) d = 0.8 | x1 = -2.0 | x2 = -11.0

11) d = 0.2 | x1 = -4.0 | x2 = -9.0

12) d = 2.2 | x1 = 0 | x2 = -15.0

13) d = 0.2 | x1 = -5.0 | x2 = -10.0

14) d = 2.6 | x1 = 0 | x2 = -16.0

15) d = 2.9 | x1 = 0 | x2 = -17.0

16) d = 3.2 | x1 = 0 | x2 = -18.0

17) d = 0.6 | x1 = -5.0 | x2 = -13.0

18) d = 4.0 | x1 = 0 | x2 = -20.0

19) d = 1.0 | x1 = -5.0 | x2 = -15.0

20) d = 4.4 | x1 = 0 | x2 = -21.0

21) d = 1.7 | x1 = -4.0 | x2 = -17.0

22) d = 1.2 | x1 = -5.0 | x2 = -16.0

23) d = 4.8 | x1 = 0 | x2 = -22.0

24) d = 6.2 | x1 = 0 | x2 = -25.0

25) d = 2.9 | x1 = -4.0 | x2 = -21.0

26) d = 6.8 | x1 = 0 | x2 = -26.0

27) d = 3.2 | x1 = -4.0 | x2 = -22.0

28) d = 7.3 | x1 = 0 | x2 = -27.0

29) d = 9.0 | x1 = 0 | x2 = -30.0

30) d = 9.6 | x1 = 0 | x2 = -31.0

31) d = 10.2 | x1 = 0 | x2 = -32.0

32) d = 11.6 | x1 = 0 | x2 = -34.0

33) d = 12.2 | x1 = 0 | x2 = -35.0

34) d = 13.0 | x1 = 0 | x2 = -36.0

35) d = 13.7 | x1 = 0 | x2 = -37.0

36) d = 15.2 | x1 = 0 | x2 = -39.0

37) d = 16.0 | x1 = 0 | x2 = -40.0

38) d = 17.6 | x1 = 0 | x2 = -42.0

39) d = 19.4 | x1 = 0 | x2 = -44.0

40) d = 20.2 | x1 = 0 | x2 = -45.0

41) d = 22.1 | x1 = 0 | x2 = -47.0

42) d = 24.0 | x1 = 0 | x2 = -49.0

43) d = 25.0 | x1 = 0 | x2 = -50.0

44) d = 27.0 | x1 = 0 | x2 = -52.0

45) d = 29.2 | x1 = 0 | x2 = -54.0

46) d = 30.2 | x1 = 0 | x2 = -55.0

47) d = 32.5 | x1 = 0 | x2 = -57.0

48) d = 34.8 | x1 = 0 | x2 = -59.0

49) d = 36.0 | x1 = 0 | x2 = -60.0

50) d = 38.4 | x1 = 0 | x2 = -62.0

51) d = 41.0 | x1 = 0 | x2 = -64.0

52) d = 42.2 | x1 = 0 | x2 = -65.0

53) d = 44.9 | x1 = 0 | x2 = -67.0

54) d = 46.2 | x1 = 0 | x2 = -68.0

55) d = 47.6 | x1 = 0 | x2 = -69.0

56) d = 49.0 | x1 = 0 | x2 = -70.0

57) d = 51.8 | x1 = 0 | x2 = -72.0

58) d = 53.3 | x1 = 0 | x2 = -73.0

